,sequence,labels,scores
289,What are the recommended specifications for integrating Linux and PyTorch?,"['medium', 'high', 'low']","[0.5260691046714783, 0.2511481046676636, 0.22278280556201935]"
290,"Customer Support, <br>Our data analytics software has crashed our critical investment optimization analysis. It might have occurred due to a compatibility issue with Apache Hadoop. We have attempted to restart the software and check for updates, but the problem still persists. <br>The software was working fine until recently, after updating to the latest version of Apache Hadoop. <br>We would greatly appreciate it if you could provide a solution to this issue as soon as possible. <br>Thank you for your assistance.","['high', 'low', 'medium']","[0.5625095963478088, 0.24987512826919556, 0.18761521577835083]"
291,An unauthorized access attempt was detected on the hospital's systems due to outdated software vulnerabilities. Initial security scans have been conducted to update the systems and identify any breaches. Our team is working to ensure the systems are secure and protected.,"['high', 'medium', 'low']","[0.5684775710105896, 0.30700352787971497, 0.12451887875795364]"
292,"While contacting Customer Support, I inquired about the scalability features of the SaaS platform that your company offers for project management. Could you provide detailed information on how the platform adapts to growing project demands, manages increased user traffic, data storage, and workflow complexity? I am particularly interested in learning about the automated scaling options, load balancing, and performance optimization techniques that are implemented. Additionally, it would be helpful to know about any limitations or constraints related to scalability that are addressed. Thank you for your time and assistance.","['high', 'medium', 'low']","[0.5614321827888489, 0.2764035165309906, 0.16216431558132172]"
293,"Dear Customer Support, I am contacting you to request assistance with integrating Mailchimp into our project management SaaS tool. Could you kindly provide any documentation or guidance on setting up this integration? I aim to synchronize my email marketing efforts with my project tasks and workflows. Despite reviewing your API documentation, I did not find specific information regarding Mailchimp integration. Any resources or support you can offer would be greatly appreciated. Thank you for your time and assistance. I am looking forward to your response.","['high', 'medium', 'low']","[0.572970449924469, 0.235452800989151, 0.1915767788887024]"
294,"Detected unauthorized access attempts on the hospital's systems, impacting the security of medical data. Enhanced software and firewall protections were implemented as a resolution.","['high', 'medium', 'low']","[0.4894283711910248, 0.39307162165641785, 0.11749997735023499]"
295,"I have encountered a problem with the synchronization of campaign metrics, which has stopped working in real-time. Although the integration between our platforms is correctly set up, the metrics are not updating. I have attempted to resolve the issue by restarting the TP-Link switch and examining the Docker container logs, yet the issue continues. Unfortunately, the error messages in the logs do not give clear insight into the problem. I have also verified the network connectivity and confirmed that all devices are properly connected. I kindly request your assistance in resolving this issue immediately, as the campaign metrics are essential for our business operations and inaccurate data is affecting our decision-making process. I am willing to provide any additional information or context required to help diagnose and fix the problem. Please inform me if there are any additional actions I can take to resolve the issue. Thank you for your time and support. I eagerly await your response.","['high', 'low', 'medium']","[0.524444580078125, 0.26449987292289734, 0.21105551719665527]"
296,"Hello Customer Support, I am contacting you to seek information regarding the integration options for QuickBooks Online with our project management SaaS platform. I am eager to explore how these two systems can enhance our business processes. Could you provide details about the types of integrations that are feasible, such as invoicing, expense tracking, and project budgeting? It would also be helpful to learn about any setup or configuration requirements, as well as the associated costs. Furthermore, I am interested in understanding any limitations or restrictions on the data that can be exchanged between the two systems. I appreciate your prompt response with this information. Thanks for your support. I am looking forward to learning more about this integration and its benefits for our business.","['high', 'medium', 'low']","[0.5063433051109314, 0.266106516122818, 0.227550208568573]"
297,An unauthorized access attempt was detected on the hospital's system. It may have occurred due to a phishing attack. Initial security measures have been implemented to monitor system intrusions. The team is working diligently to resolve the issue and ensure the security system is robust.,"['high', 'medium', 'low']","[0.5569337606430054, 0.31634294986724854, 0.12672334909439087]"
298,Project synchronization has encountered problems possibly due to network connectivity issues.,"['high', 'medium', 'low']","[0.49210691452026367, 0.36783361434936523, 0.1400594711303711]"
299,"During my live stream, OBS Studio crashed, causing a loss of viewers and potential revenue. I restarted OBS Studio, updated the plugins, and verified my system resources, but the issue continues. Could you please assist in finding a solution or guidance to resolve this problem quickly?","['high', 'low', 'medium']","[0.6427029371261597, 0.19577309489250183, 0.1615239828824997]"
300,"Hello Customer Support, I am reaching out to address an issue where my project data has vanished unexpectedly. This problem might be due to a synchronization issue with our integrations. Despite restarting the system, reviewing the logs, and reaching out to the integrators, the issue remains unresolved. I kindly request you to examine this situation and offer a solution promptly. If you need any additional information from me to address this, please let me know. I am eagerly awaiting your response. Thanks for your time and help. Sincerely, [Your Name]","['high', 'low', 'medium']","[0.575538694858551, 0.23244930803775787, 0.1920120120048523]"
301,"Request for enhancements to improve the application's compatibility performance across multiple platforms, such as iOS and Android. This would significantly enhance the user experience, allowing for seamless interactions with the app. We believe such enhancements would be highly beneficial and increase overall user satisfaction with the application. We look forward to hearing about any updates or improvements made.","['high', 'medium', 'low']","[0.7415741086006165, 0.17722362279891968, 0.08120232075452805]"
302,Could you furnish detailed solutions for securing medical data in hospital settings? Seeking a reliable and efficient method to safeguard sensitive patient information.,"['high', 'medium', 'low']","[0.5212875604629517, 0.3195706605911255, 0.15914179384708405]"
303,"An unauthorized access attempt was detected on the hospital systems. This may have occurred due to outdated software or phishing. The issue is being addressed by applying security patches to the affected software and conducting user training sessions to prevent similar incidents in the future. Access logs are being reviewed, and additional measures are being taken to enhance system security. The hospital's team is working diligently to ensure the integrity of patient data and prevent potential breaches. If you have any questions, please let us know.","['high', 'medium', 'low']","[0.5579739809036255, 0.32367074489593506, 0.11835529655218124]"
304,"I am encountering sluggish access to medical data and delayed transfers. This may be due to an incorrect Kubernetes setup. Despite restarting the Aruba switch and updating the Sophos application, the issue remains unresolved. I would be grateful for your help in addressing this. Kindly inform me of the subsequent actions to proceed.","['high', 'low', 'medium']","[0.5866886973381042, 0.21887971460819244, 0.1944315880537033]"
305,Seek advice on securing medical data using Google Keep and MongoDB version 4.4.,"['high', 'medium', 'low']","[0.44942787289619446, 0.3635873794555664, 0.18698471784591675]"
306,Seeking assistance with the integration of GitLab's project management SaaS for a smoother workflow. Would appreciate any information or details on the available resources.,"['high', 'medium', 'low']","[0.45028311014175415, 0.34910690784454346, 0.2006099671125412]"
307,Can you provide information on the best practices for onboarding new team members to the project management platform? I require guidance to help them get started quickly and efficiently.,"['high', 'medium', 'low']","[0.5049441456794739, 0.3364478647708893, 0.15860792994499207]"
308,"I am writing to request an update to the billing integration to improve compatibility with QuickBooks Online and related products. It is important to ensure a seamless integration to avoid any potential issues that may arise from an outdated integration. I would greatly appreciate it if the update could be implemented as soon as possible. Please let me know if there are any additional steps required, and the information needed from me. I look forward to hearing back from you to find a solution to this matter. Thank you for your time and assistance.","['high', 'medium', 'low']","[0.5756361484527588, 0.23309431970119476, 0.19126950204372406]"
309,The encryption process has encountered difficulties following recent software updates.,"['high', 'medium', 'low']","[0.510112464427948, 0.3039156198501587, 0.1859719157218933]"
310,"Greetings Customer Support, I am writing to seek information on the payment options for integrating JIRA with WooCommerce and Adobe Creative Cloud subscriptions. Could you provide details on the various payment plans and accepted methods? I would also appreciate any information on discounts or promotions that might be applicable. Additionally, I would like to know if there are any specific requirements or restrictions for this integration. I look forward to your response. Thank you for your assistance. Best regards, [Your Name]","['high', 'medium', 'low']","[0.4643259644508362, 0.2843586802482605, 0.2513153851032257]"
311,"Hello Customer Support Team, I am seeking detailed documentation to optimize my investment analytics using Apache Hadoop. Could you provide any resources or guides that might help improve the performance of my Hadoop data analysis and processing? Your support would be greatly appreciated and I look forward to your response. Please let me know if there is any additional information you need to provide an accurate response.","['high', 'medium', 'low']","[0.4796610176563263, 0.30149486660957336, 0.21884414553642273]"
312,I would like to know more about your digital strategies for enhancing brand growth and the services you provide. Could you give me more details on the services you offer?,"['high', 'medium', 'low']","[0.5320977568626404, 0.2902912497520447, 0.17761097848415375]"
313,"Customer Support, we have an inquiry regarding the securing of medical data for our Smart-Hörgerät products. Could you provide some guidance on best practices for protecting sensitive medical information? We would greatly appreciate any recommendations or resources that can help ensure the confidentiality and integrity of the data. Specifically, we are interested in learning about encryption methods, access controls, and data storage solutions. Please let us know about your expertise and experience in this area. Thank you for your time and assistance. We look forward to hearing from you.","['high', 'medium', 'low']","[0.5147406458854675, 0.2686215043067932, 0.21663779020309448]"
314,We have encountered a data breach due to outdated software and improperly configured network settings. Actions taken include updating the TP-Link switch firmware and securing user access credentials.,"['high', 'medium', 'low']","[0.5852546095848083, 0.28744542598724365, 0.1272999495267868]"
315,Seeking to update digital marketing strategies for improved brand growth across product lines.,"['high', 'medium', 'low']","[0.5023704767227173, 0.3247467577457428, 0.1728827804327011]"
316,"To Customer Support Team, I am contacting you regarding an issue with our data analysis software that is not functioning properly. Despite restarting the program and verifying for recent updates, the problem continues. I kindly ask that you investigate and offer a prompt solution. I will be available to offer further details if needed or to answer any questions you might have. Thank you for your prompt attention to this matter, as it is impacting our workflow and requires timely resolution. So far, my attempts to resolve the issue on my own have been unsuccessful, and I hope you can assist. Best regards, [Your Name]","['high', 'low', 'medium']","[0.4688451290130615, 0.2751278579235077, 0.25602707266807556]"
317,"I am reaching out to seek information on digital strategies that drive brand growth with your integrated products. Could you provide me with some insights on this topic? I would greatly appreciate any guidance or resources you can share. Specifically, I am interested in learning how these products can aid in increasing brand awareness and customer engagement. Thank you for your time and assistance. I look forward to hearing from you soon.","['high', 'medium', 'low']","[0.535768985748291, 0.2424503117799759, 0.2217806726694107]"
318,"A critical issue has arisen during the analysis of investment data, leading to delays in report generation. This problem might be due to software incompatibilities or configuration errors. Steps such as restarting applications and clearing cache have been taken, but the issue remains unresolved. We kindly request your assistance in resolving this matter as soon as possible.","['high', 'low', 'medium']","[0.6705166101455688, 0.1846410036087036, 0.14484234154224396]"
319,"Dear Support Team, I hope this message finds you well. I am contacting you to address a recent issue with my invoice. It seems that I have been overcharged, and despite my efforts to rectify it, the problem continues. I would be grateful if you could investigate and send me a corrected invoice without further delay. Please let me know if you require any further information from me to help resolve this. As a long-time customer, I trust that we can handle this situation amicably. I am looking forward to your prompt response. Thank you for your assistance. Sincerely, [Your Name]","['high', 'medium', 'low']","[0.4728136658668518, 0.27263766527175903, 0.25454872846603394]"
320,Would like to know about digital strategies employed by brands with Adobe Creative Cloud and Grammarly. We would appreciate detailed information on tools that enhance brand content creation and editing processes.,"['high', 'medium', 'low']","[0.45592033863067627, 0.37187498807907104, 0.17220476269721985]"
321,"A potential security vulnerability has been identified in the hospital's system. It may have occurred due to outdated software and misconfigurations. A preliminary audit was conducted, and routine updates have been applied to mitigate the issue. However, further investigation is needed to determine the root cause and ensure the system's security. Assistance from the customer support team is requested to resolve the matter promptly and prevent potential breaches.","['high', 'medium', 'low']","[0.5765488743782043, 0.25266435742378235, 0.17078673839569092]"
322,We recommend integrating the Wave audio tool with Trackball to boost features and collaborative efforts.,"['high', 'medium', 'low']","[0.6218277812004089, 0.30213913321495056, 0.07603301107883453]"
323,"Our agency is facing irregular connection issues with the Moodle Blackboard Learn system. This may be due to network overload or multiple devices accessing simultaneously. We have already restarted the router and monitored bandwidth usage, but the issue still persists and we need assistance to resolve it. Please provide guidance on how to troubleshoot and fix the problem. We would greatly appreciate recommendations on optimizing the network configuration to prevent similar issues in the future.","['high', 'low', 'medium']","[0.5881009101867676, 0.2184266895055771, 0.19347244501113892]"
324,"Dear Customer Support, I am writing to inform you of a serious data breach that has affected the security of my medical records. The breach may have occurred due to weak access controls, and I am taking immediate action to rectify the situation. I have already implemented emergency password resets and am reviewing user permissions to prevent unauthorized access. I understand the severity of the issue and am working diligently to ensure the security of our systems. I would greatly appreciate any guidance or support you can provide in addressing this matter. Please.","['high', 'medium', 'low']","[0.6927192211151123, 0.1819392591714859, 0.12534156441688538]"
325,"I am facing a payment processing error that may be related to my outdated billing software. I have already restarted my system, reviewed the logs, and reached out to my bank, but the problem occurred unexpectedly. I would greatly appreciate your help in resolving this issue.","['high', 'medium', 'low']","[0.6388363838195801, 0.1964954137802124, 0.1646682322025299]"
326,"Hello Customer Support, I am writing to request details on data analytics tools that are suitable for optimizing investment portfolios for financial institutions. Could you please share information on the tools available and their features? I am particularly interested in their capacity to analyze market trends, forecast portfolio performance, and offer optimization recommendations. Additionally, I would greatly appreciate any information on the process for implementing these tools and the required training and support. Thank you for your attention and assistance. I am looking forward to your response.","['high', 'medium', 'low']","[0.5197157263755798, 0.2747482359409332, 0.20553602278232574]"
327,A security breach has been identified in the systems. It is suspected that the issue arises from outdated antivirus software and misconfigured settings.,"['high', 'medium', 'low']","[0.524827241897583, 0.30045291781425476, 0.17471976578235626]"
328,Can you tell me about the integration possibilities of Notion with your project management software?,"['high', 'medium', 'low']","[0.47520017623901367, 0.39104408025741577, 0.13375569880008698]"
329,I would like to know more about the scalability solutions your SaaS project management tool offers for large teams. Could you share details on how your tool accommodates expanding teams and what features are included to ensure smooth collaboration?,"['high', 'low', 'medium']","[0.7338961362838745, 0.16646859049797058, 0.09963531047105789]"
330,"I am encountering difficulties with syncing data across different platforms due to possible incompatible updates or configuration problems. Despite attempts to restart services, examine logs, and update dependencies, the issue remains unresolved. I would greatly appreciate your help in addressing this. Could you please guide me on the next steps to take to resolve this matter?","['high', 'medium', 'low']","[0.6184532046318054, 0.20074637234210968, 0.1808004230260849]"
331,"Hello Customer Support, we are inquiring about the process of integrating the DataRobot SaaS project management platform. Our goal is to leverage DataRobot's capabilities to enhance our project management. Could you provide detailed information on the integration process, including necessary documentation, APIs, and developer resources? We would greatly appreciate any guidance on how to start and any potential challenges we may face. Additionally, could you provide details on how integrating the DataRobot platform could benefit us and improve our operations?","['high', 'medium', 'low']","[0.5641409158706665, 0.22870095074176788, 0.2071581780910492]"
332,"Hello [Your Name],\n\nI hope this message finds you well. We understand that you are looking for assistance in integrating Firebase into your macOS environment with the aim of improving data analytics for your application. At present, there are challenges in the effective collection and analysis of user data, which is affecting decision-making on the future trajectory of your product.\n\nYour development team is exploring various solutions to enhance your data analytics capabilities, and we believe that Firebase could be a suitable choice. However, there are some uncertainties regarding the appropriate method to proceed. We are more than willing to offer you expert guidance and recommendations based on your specific needs.\n\nSpecifically, we are interested in providing details on setting up Firebase on macOS, along with configurations to ensure the collection and analysis of required data. Additionally, our aim is to educate you on the diverse features and tools available through Firebase, such as Google Analytics and Cloud Functions, and how they can be utilized to optimize data analytics.\n\nWhile we can provide general advice on best practices for data analytics optimization, such as effective data collection and analysis techniques, it would be beneficial to have a detailed discussion. I would like to arrange a call at your convenience to discuss your requirements and provide personalized advice. Please let me know a suitable time to contact you at [Phone Number].\n\nThank you for considering our support. We look forward to your response and hope to assist you in optimizing your data analytics process.\n\nBest regards,\n[Support Team Name]","['high', 'medium', 'low']","[0.48634442687034607, 0.31447216868400574, 0.199183389544487]"
333,"The data analytics dashboard is stopping at random intervals, leading to the loss of investment data. This is because of mismatched versions of Android Studio and Redis. I've attempted to restart the dashboard and inspect the Redis logs, but the problem is still ongoing. I would greatly appreciate your help in solving this issue and in preventing any future crashes.","['high', 'low', 'medium']","[0.5867431163787842, 0.2270926535129547, 0.1861642301082611]"
334,Could you provide information on the billing plans for the Airtable integration in our project management SaaS solution? I would appreciate any details on pricing and available discounts.,"['high', 'medium', 'low']","[0.430196076631546, 0.39355868101119995, 0.17624525725841522]"
335,"Facing connectivity challenges with the Mesh Network, which is impacting digital marketing efforts. The issue might be due to outdated firmware. I've already attempted to reboot and check the device connections, but the problem still exists. I would greatly appreciate your help in resolving this matter at your earliest convenience.","['high', 'low', 'medium']","[0.6016826033592224, 0.23229214549064636, 0.1660253405570984]"
336,Marketing agency is facing connectivity issues on various devices and applications. This might be due to a network configuration error or a software conflict.,"['high', 'medium', 'low']","[0.5571225881576538, 0.24541553854942322, 0.19746196269989014]"
337,"There has been an unexpected data breach where the infrastructure was compromised, leading to the exposure of secure medical records. This may be due to misconfigured firewall settings or outdated software. Despite attempts to restart affected systems and update security protocols, vulnerabilities persist. Immediate assistance is required to address the situation.","['high', 'medium', 'low']","[0.5756124258041382, 0.3189544379711151, 0.1054331511259079]"
338,"Customer Support, a data breach has been reported at a hospital, leading to the compromising of sensitive medical data due to inadequate security protocols. Immediate action has been taken, including implementing basic encryption and updating passwords. However, further assistance is needed to enhance security measures to prevent future incidents. We would appreciate guidance on advanced security protocols, such as firewalls and intrusion detection systems, as well as regular security audits. Additionally, further assistance is required.","['high', 'medium', 'low']","[0.5483760237693787, 0.28912293910980225, 0.1625010222196579]"
339,There has been an instance of unauthorized access to medical records. This might have happened due to outdated security protocols. Steps have been taken to update user permissions and conduct a system audit to identify any vulnerabilities.,"['high', 'medium', 'low']","[0.525583028793335, 0.3918464481830597, 0.08257058262825012]"
340,"Hi there, I'm contacting you to seek advice on the best strategies for combining Firebase with Kubernetes to support expansive digital marketing efforts. Firebase and Kubernetes, with their extensive tools for mobile and web app development and strong container orchestration, can provide a scalable and efficient solution. However, merging these technologies involves careful attention to aspects like data consistency, security, and performance optimization. I would greatly appreciate any resources or tutorials you can offer, and I am also interested in case studies that demonstrate successful integrations. If possible, could you suggest monitoring and troubleshooting tools to address any challenges that may arise during the integration? Your help is much appreciated, and I look forward to your response.","['high', 'medium', 'low']","[0.5824131965637207, 0.2597654461860657, 0.15782137215137482]"
341,"Dear Customer Support, I am contacting you to report an issue with the medical data encryption, which has suddenly stopped working. I suspect that this might be due to insufficient updates of the Cisco IOS. Despite attempting to restart the HTC Vive Cosmos VR system, the issue remains unresolved. I would greatly appreciate your assistance in quickly addressing this concern. Could you please provide guidance on what actions I should take next? Given the critical nature of the security of our medical data, prompt resolution is essential. I look forward to your prompt response. Thank you for your time and support. I await your contact.","['high', 'medium', 'low']","[0.5471096634864807, 0.2595289945602417, 0.19336138665676117]"
342,"I am reporting an unexpected crash of our medical data encryption system. It is possible that this issue is due to software compatibility problems. We have already attempted to restart the servers and reviewed the system logs, but the problem remains unresolved. We would greatly appreciate any prompt assistance to ensure the security and integrity of our medical data.","['high', 'medium', 'low']","[0.5639629364013672, 0.2295289784669876, 0.20650805532932281]"
343,"Dear Customer Support Team, I am contacting you to learn more about how data analytics can enhance investment decision-making with your products. Could you provide detailed information on the tools and services that can aid in data-driven investment strategies? I would greatly appreciate any advice on getting started with data analytics for investment optimization. Additionally, could you share any available resources or tutorials that could help me understand this better? I am eagerly looking forward to your response and exploring how your products can assist in making more informed investment decisions. Thank you for your support and assistance. Best regards, [Your Name]","['high', 'medium', 'low']","[0.5138086080551147, 0.25944435596466064, 0.2267470508813858]"
344,"SQL queries have begun timing out recently, likely due to an overloaded server or software conflicts.","['high', 'medium', 'low']","[0.5331504344940186, 0.25582602620124817, 0.21102353930473328]"
345,We are looking to enhance our digital marketing strategies which impact multiple products. We seek support to improve brand growth and ensure service continuity. We would greatly appreciate your guidance and assistance in achieving our goals. Please let us know the next steps to proceed.,"['high', 'medium', 'low']","[0.5663148760795593, 0.2272207885980606, 0.20646430552005768]"
346,"customer support, seeking detailed guidance on optimizing Squarespace for improved brand visibility and growth. interested in practices that can enhance website performance, boost online engagement, and increase sales. Could provide a step-by-step guide on how to optimize a Squarespace website? would also appreciate any tips or recommendations. Additionally, interested in knowing specific tools and features that can be used to enhance the brand's online presence. Thank you for your time.","['high', 'medium', 'low']","[0.4613876938819885, 0.3724312484264374, 0.16618114709854126]"
347,"The login process failed unexpectedly this morning, which might be related to the server maintenance that occurred overnight. I have already tried restarting my browser and clearing the cache, yet the problem still exists.","['high', 'medium', 'low']","[0.5409374237060547, 0.23636667430400848, 0.22269582748413086]"
348,"Hello, I am contacting you to request information on the integrations that are compatible with Evernote. Could you please share a list of applications and services that can be integrated with Evernote? Additionally, I would be grateful if you could provide guidance on the integration procedure and any limitations that might apply. I am looking forward to your response and am open to a more detailed discussion at your earliest convenience. Thank you for your time and assistance.","['high', 'medium', 'low']","[0.45058631896972656, 0.3270072042942047, 0.2224065214395523]"
349,"Customer Support,<br>A security breach has been detected in the hospital system, impacting medical data. It is suspected that outdated software may have contributed to the incident. We have attempted to update security protocols and conduct virus scans to address the issue immediately.<br>We require your assistance to resolve this matter as soon as possible to prevent further damage.<br>Sincerely,<br>[Your Name]","['high', 'medium', 'low']","[0.5662044882774353, 0.2574274241924286, 0.17636804282665253]"
350,Could you provide more information on the digital strategies available to support brand growth? I am particularly interested in learning about the specific services offered that could help businesses expand their online presence. I look forward to your prompt response and appreciate your assistance.,"['high', 'medium', 'low']","[0.5236011743545532, 0.26801201701164246, 0.20838676393032074]"
351,"Hello Customer Support, our marketing agency's website is currently experiencing downtime, which is impacting brand visibility and sales. It may be due to server overload or misconfigured plugins. We have already restarted the server, cleared the cache, and disabled any recent updates, but the issue still persists. This website downtime is causing significant financial loss in terms of potential customer revenue. We would greatly appreciate it if you could look into this matter urgently and provide a solution to get the website running as soon as possible. Please let us know.","['high', 'low', 'medium']","[0.6471109986305237, 0.2281259000301361, 0.12476309388875961]"
352,The recent campaign was unsuccessful due to technical problems. Our troubleshooting attempts were not successful.,"['high', 'low', 'medium']","[0.4613778591156006, 0.30053940415382385, 0.23808276653289795]"
353,I would like to explore more about digital tactics for brand expansion and how these can be put into practice for achieving success.,"['high', 'medium', 'low']","[0.5918633937835693, 0.25626686215400696, 0.15186980366706848]"
354,"I am contacting you to seek information regarding integration options for Xero with your project management SaaS solution. Could you kindly furnish me with details on the available integration methods and relevant documentation or support resources? It would also be helpful to know if there are any specific prerequisites or constraints related to integrating Xero with your platform. Moreover, do you have any plans for future enhancements or expansions in the Xero integration? Thank you for addressing this request. I eagerly anticipate your response and look forward to a detailed discussion.","['high', 'medium', 'low']","[0.5416561365127563, 0.2755900025367737, 0.18275383114814758]"
355,"I am reaching out to inform you about an unforeseen error during the payment processing. This error could be related to outdated software or a configuration problem. I have already restarted the system, reviewed the logs, and contacted the bank, but the problem continues. I would greatly appreciate your investigation and prompt resolution of this issue.","['high', 'medium', 'low']","[0.6163431406021118, 0.20219756662845612, 0.18145930767059326]"
356,"Customer Support, encountered an unexpected charge on my account, which is affecting our budget for digital marketing activities. This might have occurred due to a billing error or miscommunication related to package upgrades. After verifying subscription details and checking for unauthorized transactions, the issue still persists. Could you please look into this matter and provide a resolution and explanation for the charge? I appreciate your assistance in resolving this issue and would like a detailed breakdown of my current subscription and any recent changes. Thank you.","['high', 'medium', 'low']","[0.5523128509521484, 0.25515323877334595, 0.19253386557102203]"
357,"The campaigns were initiated with outdated BIOS settings, likely owing to insufficient software updates. This could have led to compatibility issues. I have restarted the servers and verified the network configurations.","['high', 'medium', 'low']","[0.4549280107021332, 0.30499961972236633, 0.2400723546743393]"
358,"I am contacting you to seek ClickUp integration guides for Adobe Photoshop CC 2021 and QuickBooks Online. Could you kindly provide detailed, step-by-step instructions on how to integrate these tools with ClickUp? Any resources or assistance you can provide to help me begin this process would be greatly appreciated.","['high', 'medium', 'low']","[0.5618793368339539, 0.2735864222049713, 0.16453424096107483]"
359,"Dear Customer Support, <br>We are reporting an issue that several users have encountered with the recent software updates. The problem seems to be related to billing discrepancies, which may have been caused by integration or data migration errors. Our team has reviewed the transaction histories of the affected users and attempted to resync the system, but unfortunately, the issue was not resolved. <br>We would greatly appreciate it if you could look into this matter and provide a solution at your earliest convenience. Please let us know if we need to contact you at <tel_num> to further discuss the issue.","['high', 'medium', 'low']","[0.47898924350738525, 0.28996405005455017, 0.2310466766357422]"
360,May we offer insights to optimize your digital strategies?,"['high', 'medium', 'low']","[0.46765434741973877, 0.3522559106349945, 0.18008968234062195]"
361,"Customer Support, I am inquiring about digital strategies that can drive brand growth. Could you provide more details on the methods used to increase brand awareness and engagement? I am particularly interested in learning about social media marketing efforts to measure their effectiveness. Additionally, I would appreciate information on content marketing strategies to optimize our website for search engines. Thank you for your time and assistance. I look forward to hearing back soon. Please let me know.","['high', 'medium', 'low']","[0.5179864764213562, 0.2753821909427643, 0.20663133263587952]"
362,"There has been a decline in marketing campaign metrics following recent algorithm updates. Despite reviewing and modifying the targeting settings and message content, there has been no improvement. Assistance is required to address this issue and enhance the campaign's performance.","['low', 'high', 'medium']","[0.5425633788108826, 0.30921101570129395, 0.14822563529014587]"
363,"Respected Customer Support, I am writing to ask about the pricing for integrating Blackboard Learn into your SaaS project management solution. Could you kindly give me a detailed outline of the associated costs? Additionally, it would be helpful to know if there are extra services or features included in the integration deal. Moreover, I am interested in learning about any discounts provided for long-term deals or bulk purchases. I look forward to your response. Thank you for your support and time.","['high', 'medium', 'low']","[0.4267754852771759, 0.3617599904537201, 0.211464524269104]"
364,"I am interested in learning about digital marketing services to help my business grow. Could you provide details on the services you offer, such as SEO, social media management, and content creation? I would greatly appreciate information on how these services can enhance brand growth and increase online presence. Thank you for your time, and I look forward to hearing from you.","['high', 'medium', 'low']","[0.5518327951431274, 0.23582111299037933, 0.21234606206417084]"
365,"I am facing display-related problems with the Acer Predator XB273K monitor while using a project management SaaS platform. Despite attempting to adjust monitor settings and reinstalling the application, the issue still exists. I would greatly appreciate any assistance in resolving this problem.","['high', 'low', 'medium']","[0.613349437713623, 0.19467875361442566, 0.19197188317775726]"
366,"Customer Support, compiling a critical report on an issue with the medical records system. We have encountered a data security breach, which may be due to outdated encryption protocols. Although we have tried to apply software updates, vulnerabilities persist, and we are seeking urgent assistance to secure sensitive patient data. The breach has put patients' confidential information at risk, and it is essential to resolve the matter promptly. We would appreciate immediate guidance and support.","['high', 'medium', 'low']","[0.649488091468811, 0.19668149948120117, 0.1538304090499878]"
367,"Our system went through unexpected downtime impacting all users. There might be a server overload issue or a possible software bug. After restarting the server and reviewing the logs, the problem still exists. We are diligently investigating to fix the issue promptly. We kindly request your feedback if you have any questions or concerns.","['high', 'medium', 'low']","[0.6029366254806519, 0.2055160254240036, 0.19154731929302216]"
368,"Urgent request for integration updates to enhance compatibility and performance within the project management SaaS platform. The current integration is causing issues with data synchronization, leading to delays and inefficiencies. I would greatly appreciate it if you could prioritize this request and provide an estimated timeline for the updates.","['high', 'medium', 'low']","[0.7095844149589539, 0.17591030895709991, 0.11450522392988205]"
369,"I am seeking detailed information on the data security measures implemented for the services and products offered by your hospital. Could you provide a comprehensive overview of the protocols and technologies used to protect sensitive patient data, including details on encryption, access controls, and compliance with relevant regulations?","['high', 'medium', 'low']","[0.5276800394058228, 0.3003138303756714, 0.17200614511966705]"
370,"There has been a failure in the data synchronization between the HubSpot CRM and Asana systems. Having restarted the HubSpot CRM and verified the API connections, the issue still remains unresolved. It could be indicative of API compatibility problems.","['high', 'medium', 'low']","[0.5763449668884277, 0.2190484255552292, 0.20460663735866547]"
371,Can you provide detailed information on scalable SaaS capabilities for project management solutions?,"['medium', 'high', 'low']","[0.49376168847084045, 0.35449469089508057, 0.15174362063407898]"
372,"Dear Customer Support Team, <br/>I am writing to inform you about an issue I encountered with our data analytics platform. It unexpectedly crashed, which might be due to software compatibility problems. Despite restarting the system, checking for updates, and ensuring configurations are correct, the problem remains unresolved. I would be grateful if you could help me resolve this issue promptly. Please inform me if you require any further details. Thank you for your time and support.","['high', 'low', 'medium']","[0.5133569240570068, 0.2465699166059494, 0.24007320404052734]"
373,"Respected Customer Service Team, I am addressing you to highlight the necessity to revise our digital marketing tactics for the impacted products. Our existing strategies are not achieving the expected outcomes, and it is crucial that we reevaluate our approach to enhance brand growth and interaction. There has been a noticeable drop in sales for the affected products, and swift action is required to address this issue. I recommend initiating a comprehensive analysis of our target audience, competitors, and market trends to uncover potential improvements. Additionally, I suggest engaging with social media platforms, influencer marketing, and content marketing to amplify our brand's visibility and attract a broader audience. It is also vital to concentrate on crafting engaging and personalized content that appeals to our target demographic and prompts them to take action. By updating our digital marketing tactics, we can increase brand recognition, fuel sales, and consequently promote overall business growth. I am keen to delve deeper into this topic and collaborate to put forward the proposed adjustments. I look forward to your feedback and eagerly await your thoughts on this matter.","['high', 'low', 'medium']","[0.5435940027236938, 0.27063313126564026, 0.1857728809118271]"
